,following_n,commit_n,public_repos,public_gists,follower_range
0,9,181,11,0,followers0-100
1,1,286,24,0,followers0-100
2,0,548,49,2,followers0-100
3,6,107,41,0,followers0-100
4,0,371,41,1,followers0-100
5,3,602,15,0,followers0-100
6,5,171,12,1,followers0-100
7,0,269,12,0,followers0-100
8,0,219,66,11,followers0-100
9,0,270,16,7,followers0-100
10,2,562,2,0,followers0-100
11,0,513,10,0,followers0-100
12,1,754,17,18,followers0-100
13,5,291,10,0,followers0-100
14,1,257,23,0,followers0-100
15,5,213,32,6,followers0-100
16,0,151,11,0,followers0-100
17,271,382,100,16,followers0-100
18,0,246,7,0,followers0-100
19,0,106,15,0,followers0-100
20,1,110,5,5,followers0-100
21,9,107,16,0,followers0-100
22,0,268,33,0,followers0-100
23,24,207,28,7,followers0-100
24,89,813,22,2,followers0-100
25,0,413,28,19,followers0-100
26,5,140,14,0,followers0-100
27,154,236,106,1,followers0-100
28,0,396,11,0,followers0-100
29,1,168,8,0,followers0-100
30,4,637,13,0,followers0-100
31,78,206,182,0,followers0-100
32,3,423,23,2,followers0-100
33,33,584,33,1,followers0-100
34,10,115,6,5,followers0-100
35,7,375,8,0,followers0-100
36,12,655,91,0,followers0-100
37,4,351,7,6,followers0-100
38,9,329,25,0,followers0-100
39,0,120,30,0,followers0-100
40,10,135,4,0,followers0-100
41,44,678,45,34,followers0-100
42,1,111,12,0,followers0-100
43,4,470,15,0,followers0-100
44,2,184,16,1,followers0-100
45,3,485,13,0,followers0-100
46,17,219,15,0,followers0-100
47,0,181,25,0,followers0-100
48,1,263,2,0,followers0-100
49,0,299,34,1,followers0-100
50,1,115,4,0,followers0-100
51,6,576,7,0,followers0-100
52,5,503,20,0,followers0-100
53,1,889,7,1,followers0-100
54,1,552,34,0,followers0-100
55,19,132,12,1,followers0-100
56,30,716,162,47,followers0-100
57,2,126,17,0,followers0-100
58,6,238,57,0,followers0-100
59,2,167,27,0,followers0-100
60,0,209,6,0,followers0-100
61,0,790,14,1,followers0-100
62,7,253,18,1,followers0-100
63,0,202,27,3,followers0-100
64,27,196,9,2,followers0-100
65,0,886,2,0,followers0-100
66,9,270,23,3,followers0-100
67,2,173,26,0,followers0-100
68,7,302,29,0,followers0-100
69,5,113,3,0,followers0-100
70,3,542,26,0,followers0-100
71,7,843,57,3,followers0-100
72,0,367,25,0,followers0-100
73,0,866,20,0,followers0-100
74,2,381,21,0,followers0-100
75,5,411,18,1,followers0-100
76,89,508,87,5,followers0-100
77,0,426,3,0,followers0-100
78,2,652,14,0,followers0-100
79,4,175,0,0,followers0-100
80,3,320,27,3,followers0-100
81,0,314,2,0,followers0-100
82,1,108,7,0,followers0-100
83,1,427,11,0,followers0-100
84,5,236,1,0,followers0-100
85,0,438,4,0,followers0-100
86,9,712,13,0,followers0-100
87,2,121,13,0,followers0-100
88,0,107,5,1,followers0-100
89,0,200,16,0,followers0-100
90,19,225,13,3,followers0-100
91,105,444,39,0,followers0-100
92,14,216,16,0,followers0-100
93,0,333,11,3,followers0-100
94,2,664,17,0,followers0-100
95,5,174,39,0,followers0-100
96,14,111,9,0,followers0-100
97,1,772,4,0,followers0-100
98,4,157,35,0,followers0-100
99,8,549,21,5,followers0-100
100,28,650,36,0,followers100-500
101,2,827,94,30,followers100-500
102,28,866,63,24,followers100-500
103,5,695,19,3,followers100-500
104,3,289,3,0,followers100-500
105,7,201,43,0,followers100-500
106,16,247,48,7,followers100-500
107,0,264,24,0,followers100-500
108,7,480,20,5,followers100-500
109,0,767,55,10,followers100-500
110,1,323,94,0,followers100-500
111,3,823,24,4,followers100-500
112,202,115,45,1,followers100-500
113,19,149,34,0,followers100-500
114,0,412,27,6,followers100-500
115,138,368,41,50,followers100-500
116,1,382,31,6,followers100-500
117,702,814,43,7,followers100-500
118,6,890,19,0,followers100-500
119,1,412,17,29,followers100-500
120,90,130,35,0,followers100-500
121,2,745,16,1,followers100-500
122,2,396,36,0,followers100-500
123,10,187,16,0,followers100-500
124,18,123,65,26,followers100-500
125,3,697,61,11,followers100-500
126,0,507,113,182,followers100-500
127,3,337,23,12,followers100-500
128,2,183,14,2,followers100-500
129,6,454,4,0,followers100-500
130,2,296,14,0,followers100-500
131,21,667,8,0,followers100-500
132,29,569,14,1,followers100-500
133,17,870,31,16,followers100-500
134,12,454,110,0,followers100-500
135,6,135,19,6,followers100-500
136,62,106,17,0,followers100-500
137,0,436,105,5,followers100-500
138,0,502,95,123,followers100-500
139,0,376,9,0,followers100-500
140,13,536,14,1,followers100-500
141,51,321,51,6,followers100-500
142,569,806,41,5,followers100-500
143,0,350,15,1,followers100-500
144,56,257,425,27,followers100-500
145,23,382,19,1,followers100-500
146,645,266,81,42,followers100-500
147,12,581,17,4,followers100-500
148,9,409,3,0,followers100-500
149,52,133,12,0,followers100-500
150,23,255,26,0,followers100-500
151,20,843,58,0,followers100-500
152,4,403,14,4,followers100-500
153,10,319,104,13,followers100-500
154,0,172,112,11,followers100-500
155,6,480,19,0,followers100-500
156,14,355,34,0,followers100-500
157,0,179,31,25,followers100-500
158,84,831,62,4,followers100-500
159,91,485,61,0,followers100-500
160,15,596,50,78,followers100-500
161,103,892,34,18,followers100-500
162,0,892,28,236,followers100-500
163,0,746,10,6,followers100-500
164,2,528,16,5,followers100-500
165,15,126,15,2,followers100-500
166,13,516,62,0,followers100-500
167,0,328,16,0,followers100-500
168,6,344,23,6,followers100-500
169,268,208,91,42,followers100-500
170,6,871,11,0,followers100-500
171,18,108,17,1,followers100-500
172,3,200,4,0,followers100-500
173,3,385,38,55,followers100-500
174,31,595,25,12,followers100-500
175,51,158,40,0,followers100-500
176,44,386,7,0,followers100-500
177,1,400,46,0,followers100-500
178,0,254,3,0,followers100-500
179,102,364,22,43,followers100-500
180,14,262,8,0,followers100-500
181,1259,226,62,6,followers100-500
182,665,273,38,14,followers100-500
183,547,217,45,20,followers100-500
184,740,166,40,3,followers100-500
185,32,738,23,0,followers100-500
186,44,213,40,1,followers100-500
187,29,155,37,0,followers100-500
188,1,828,32,3,followers100-500
189,135,653,80,177,followers100-500
190,182,621,46,16,followers100-500
191,285,721,15,9,followers100-500
192,38,661,40,7,followers100-500
193,9,727,50,0,followers100-500
194,3,255,40,5,followers100-500
195,50,552,17,8,followers100-500
196,54,134,12,0,followers100-500
197,35,268,25,3,followers100-500
198,31,593,158,4,followers100-500
199,11,807,44,14,followers100-500
200,17,581,27,183,followers500-1000
201,150,646,26,15,followers500-1000
202,1187,233,19,0,followers500-1000
203,0,817,39,0,followers500-1000
204,8,173,23,0,followers500-1000
205,6,824,54,3,followers500-1000
206,3,670,43,0,followers500-1000
207,3,624,28,1,followers500-1000
208,40,806,124,11,followers500-1000
209,63,756,74,22,followers500-1000
210,28,707,38,152,followers500-1000
211,63,311,34,4,followers500-1000
212,439,583,4,5,followers500-1000
213,0,404,2,0,followers500-1000
214,29,657,36,3,followers500-1000
215,36,473,8,0,followers500-1000
216,53,773,21,1,followers500-1000
217,67,728,46,1,followers500-1000
218,0,378,103,0,followers500-1000
219,2,550,46,0,followers500-1000
220,7,582,19,0,followers500-1000
221,137,826,29,6,followers500-1000
222,4,334,6,1,followers500-1000
223,0,478,21,1,followers500-1000
224,0,150,14,0,followers500-1000
225,10,184,7,3,followers500-1000
226,1,673,28,11,followers500-1000
227,104,290,29,3,followers500-1000
228,4,248,75,10,followers500-1000
229,13,565,15,0,followers500-1000
230,11,204,13,0,followers500-1000
231,207,572,43,1,followers500-1000
232,0,373,1,1,followers500-1000
233,788,269,5,0,followers500-1000
234,119,458,39,36,followers500-1000
235,1,241,4,4,followers500-1000
236,0,421,5,0,followers500-1000
237,52,599,61,25,followers500-1000
238,39,248,275,6,followers500-1000
239,10,501,79,5,followers500-1000
240,2,703,33,1,followers500-1000
241,0,729,7,0,followers500-1000
242,25,860,76,18,followers500-1000
243,31,348,29,39,followers500-1000
244,74,201,27,54,followers500-1000
245,60,820,115,227,followers500-1000
