,id,following_n,commit_n,bio,public_repos,public_gists,follower_range
0,10074798,9,181,,11,0,followers0-100
1,10067971,1,286,,24,0,followers0-100
2,10040154,0,548,"Frontend developer: Javascript, React, DraftJS, GraphQL, Vue",49,2,followers0-100
3,10047005,6,107,,41,0,followers0-100
4,10017162,0,371,"""If the apocalypse comes, beep me.""",41,1,followers0-100
5,10054226,3,602,Software Developer,15,0,followers0-100
6,10009090,5,171,Front end developer based in Amsterdam,12,1,followers0-100
7,10000166,0,269,Software Engineer @facebook,12,0,followers0-100
8,1006803,0,219,,66,11,followers0-100
9,1004026,0,270,,16,7,followers0-100
10,10061652,2,562,,2,0,followers0-100
11,10047089,0,513,,10,0,followers0-100
12,1001717,1,754,,17,18,followers0-100
13,10054336,5,291,"_Like Technology
  _相信自己所相信的
    _坚持自己所坚持的",10,0,followers0-100
14,10074847,1,257,,23,0,followers0-100
15,1000912,5,213,Developing iOS apps since iPhone OS 2.2. ,32,6,followers0-100
16,10000174,0,151,,11,0,followers0-100
17,10030028,271,382,"Software developer. 
I :heart: JavaScript
I teach at EduLight Consulting
",100,16,followers0-100
18,10040293,0,246,,7,0,followers0-100
19,10068197,0,106,,15,0,followers0-100
20,10017352,1,110,,5,5,followers0-100
21,10074936,9,107,,16,0,followers0-100
22,1004729,0,268,,33,0,followers0-100
23,10000206,24,207,,28,7,followers0-100
24,1000918,89,813,Freelance software developer,22,2,followers0-100
25,10061736,0,413,,28,19,followers0-100
26,10030099,5,140,Android/ .NET developer,14,0,followers0-100
27,10040335,154,236,iOS and macOS developer,106,1,followers0-100
28,10000207,0,396,,11,0,followers0-100
29,1006840,1,168,,8,0,followers0-100
30,10075074,4,637,Software engineer,13,0,followers0-100
31,10054434,78,206,,182,0,followers0-100
32,1001756,3,423,,23,2,followers0-100
33,10047434,33,584,,33,1,followers0-100
34,1006193,10,115,,6,5,followers0-100
35,10000354,7,375,,8,0,followers0-100
36,1004034,12,655,,91,0,followers0-100
37,1005453,4,351,,7,6,followers0-100
38,1007521,9,329,,25,0,followers0-100
39,1003021,0,120,,30,0,followers0-100
40,10000553,10,135,,4,0,followers0-100
41,10009354,44,678,Dev and security enthusiast; capturing flags with JHtC CTF team,45,34,followers0-100
42,10068494,1,111,,12,0,followers0-100
43,1001758,4,470,,15,0,followers0-100
44,10054913,2,184,,16,1,followers0-100
